KHM,Quarter,mahieu,lat,lon,Quarter,DO,Temperature,pH,Salinity,NH3,PO4,BOD5,TSS,Coliform,Alkalinity,Transparency,H2S,COD,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,Alkalinity_source,Transparency_source
NB1,,NB1,428692,2318587,,7.4,,7.79,,,,,7.8,1.5,,,0.04183037246677567,,,0.0022,0.0001,0.001,0.00045,0.00025,0.0161,,,
NB1,,NB1,428692,2318587,,6.95,,8.08,,,,,6.9,1.5,,,0.025683611474225404,,,0.0026,0.0001,0.00045,0.0019,0.00025,0.0115,,,
NB1,,NB1,428692,2318587,,6.25,,8.1,,,,,6.9,1.5,,,0.04917109034539065,,,0.0019,0.0001,0.00045,0.00045,0.00025,0.0089,,,
NB1,,NB1,428692,2318587,,6.83,,8.07,,,,,9.5,1.5,,,0.05268161849716926,,,0.0018,0.0001,0.00045,0.00045,0.00025,0.0147,,,
NB1,,NB1,428692,2318587,,6.48,,8.12,,,,,8.5,1.5,,,0.0184558869081236,,,0.0016,0.0001,0.00045,0.00045,0.00025,0.0131,,,
NB1,,NB1,428692,2318587,,5.44,,8.1,,,,,8.8,1.5,,,0.023353474421818808,,,0.0018,0.0001,0.00045,0.00045,0.00025,0.0148,,,
NB1,,NB1,428692,2318587,,5.66,,8.08,,,,,9.2,1.5,,,0.03923084921402228,,,0.0016,0.0001,0.00045,0.00045,0.00025,0.0151,,,
NB1,,NB1,428692,2318587,,5.62,,8.07,,,,,9.3,1.5,,,0.0333940973741629,,,0.0014,0.0001,0.00045,0.00045,0.00025,0.0167,,,
NB1,,NB1,428692,2318587,,6.41,,8.09,,,,,8.5,1.5,,,0.037225608121854506,,,0.0018,0.0001,0.00045,0.00045,0.00025,0.0142,,,
NB1,,NB1,428692,2318587,,5.38,,8.05,,,,,7.5,1.5,,,0.027485614680739835,,,0.0016,0.0001,0.00045,0.00045,0.00025,0.0127,,,
NB1,,NB1,428692,2318587,,5.94,,8.1,,,,,8.5,1.5,,,0.05152562768162423,,,0.0014,0.0001,0.00045,0.00045,0.00025,0.0144,,,
NB1,,NB1,428692,2318587,,6.01,,8.08,,,,,7.5,1.5,,,0.049661167378606916,,,0.0014,0.0001,0.00045,0.00045,0.00025,0.0112,,,
NB1,,NB1,428692,2318587,,6.33,,8.08,,,,,8.3,1,,,0.03836106032098749,,,0.0006,0.0001,0.0001,0.0005,0.0001,0.0108,,,
NB1,,NB1,428692,2318587,,5.46,,8.04,,,,,7.5,1,,,0.056372452787102,,,0.0014,0.0001,0.0001,0.0005,0.0001,0.0098,,,
NB1,,NB1,428692,2318587,,6.06,,8.05,,,,,8.2,1,,,0.04437485892767967,,,0.0021,0.0001,0.0001,0.00015,0.0001,0.0422,,,
NB1,,NB1,428692,2318587,,6.17,,8.1,,,,,7.1,1,,,0.027423387442283845,,,0.002,0.0001,0.0001,0.0016,0.0001,0.0371,,,
NB2,,NB2,428365,2319163,,6.63,,8.02,,,,,8.7,1.5,,,0.042813348165526004,,,0.0011,0.0001,0.00045,0.00045,0.00025,0.0122,,,
NB2,,NB2,428365,2319163,,6.22,,8.05,,,,,8.2,1.5,,,0.02645040370627537,,,0.0045,0.0001,0.00045,0.0011,0.00025,0.0064,,,
NB2,,NB2,428365,2319163,,6.16,,8.01,,,,,8.2,1.5,,,0.05150791858774943,,,0.0025,0.0001,0.00045,0.00045,0.00025,0.0077,,,
NB2,,NB2,428365,2319163,,6.28,,8.03,,,,,8.7,1.5,,,0.03678100053669243,,,0.0033,0.0001,0.00045,0.00045,0.00025,0.0078,,,
